Ppv,Pdg,Pch,Pdch,Pdch_max,Pch_max,Eb,SOC,Pbuy,Psell,Eload,ENS,Edump,P_RE_served,Csell,Cbuy,Pserved,POA,Temperature,Wind Speed
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.04,0.0,0.04,0.0,-0.0,0.0,0.065,0.065,0.0,0.0,-4.4,4.5
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.04,0.0,0.04,0.0,-0.0,0.0,0.065,0.065,0.0,0.0,-4.9,4.4
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.04,0.0,0.04,0.0,-0.0,0.0,0.065,0.065,0.0,0.0,-5.300000000000001,4.2
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.04,0.0,0.04,0.0,-0.0,0.0,0.065,0.065,0.0,0.0,-5.6000000000000005,4.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.04,0.0,0.04,0.0,-0.0,0.0,0.065,0.065,0.0,0.0,-5.7,3.9
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.04,0.0,0.04,0.0,-0.0,0.0,0.065,0.065,0.0,0.0,-5.800000000000001,3.7
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.04,0.0,0.04,0.0,-0.0,0.0,0.065,0.065,0.0,0.0,-6.0,3.5
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.04,0.0,0.04,0.0,-0.0,0.0,0.065,0.065,0.0,0.0,-6.0,3.4000000000000004
0.025036062470449344,0.0,0.0,0.0,0.0,0.0,0.0,0,0.014963937529550657,0.0,0.04,0.0,-0.0,0.025036062470449344,0.065,0.065,0.025036062470449344,21.27268624592475,-5.4,3.5
0.13285136900220224,0.0,0.0,0.0,0.0,0.0,0.0,0,0.06714863099779778,0.0,0.2,0.0,-0.0,0.13285136900220224,0.065,0.065,0.13285136900220224,113.83285570558016,-4.5,3.8
0.09214439115567107,0.0,0.0,0.0,0.0,0.0,0.0,0,0.2678556088443289,0.0,0.36,0.0,-0.0,0.09214439115567107,0.065,0.065,0.09214439115567108,78.88621149530425,-4.0,4.0
0.11577322804002523,0.0,0.0,0.0,0.0,0.0,0.0,0,0.24422677195997478,0.0,0.36,0.0,-0.0,0.11577322804002523,0.065,0.065,0.11577322804002521,99.27253581431549,-3.9,4.0
0.3245029422233511,0.0,0.0,0.0,0.0,0.0,0.0,0,0.03549705777664891,0.0,0.36,0.0,-0.0,0.3245029422233511,0.065,0.065,0.3245029422233511,281.56355125480616,-3.9,4.0
