Eload,G,T,Vw
0.513895489,0.0,14.2,1.4
0.567761626,0.0,13.9,1.5
0.783775688,0.0,13.9,1.6
1.034773867,80.63724386493914,14.5,1.6
0.953880754,107.25533709203994,15.8,1.9
0.816670382,285.13583611232366,17.1,2.3000000000000003
0.81328992,524.4307508778421,18.2,2.3000000000000003
0.829634338,400.22882983559685,19.1,2.4000000000000004
0.814788399,379.3163959298854,19.4,2.3000000000000003
0.792035895,631.5252136796214,18.8,2.0
0.792231247,301.6177704471523,17.8,1.8
0.854486111,172.9116428987065,17.3,1.7000000000000002
1.083675159,29.023731422931203,15.6,1.5
1.50275718,0.0,15.2,1.4
1.777478196,0.0,15.2,1.4
1.728572974,0.0,15.2,1.5
1.600127698,0.0,15.1,1.5
1.458262622,0.0,15.1,1.5
1.181615917,0.0,15.2,1.4
0.906894026,0.0,15.2,1.2000000000000002
0.64026171,0.0,15.2,1.2000000000000002
0.541733318,0.0,15.4,1.2000000000000002
0.507058075,0.0,15.6,1.4
0.501726872,0.0,15.6,1.5
0.503012278,0.0,15.2,1.5
0.554778747,0.0,14.9,1.4
0.747573491,0.0,14.9,1.2000000000000002
1.031670319,24.189009687086926,15.8,1.3
0.983338,76.02260187370175,17.0,1.7000000000000002
0.834883442,202.56358894577218,18.1,2.1
0.828118507,136.49512609141905,19.1,2.2
0.829634338,239.58100796314758,19.9,2.2
0.814788399,379.6090721471669,20.3,1.9
0.792035895,585.0360497962718,20.4,1.6
0.792231247,360.2423648007466,20.0,1.4
0.854486111,390.24252974779154,19.6,1.4
1.083675159,124.4589529480795,16.0,1.5
1.50275718,0.0,14.5,1.8
1.777478196,0.0,13.8,1.9
1.728572974,0.0,13.4,1.9
1.600127698,0.0,13.2,1.9
1.458262622,0.0,12.9,2.0
1.181615917,0.0,12.7,2.0
0.907985658,0.0,12.5,2.1
0.652408815,0.0,12.3,2.1
0.55380471,0.0,12.2,2.0
0.523937074,0.0,12.1,1.9
0.523528617,0.0,12.1,1.9
0.528128391,0.0,12.0,2.1
0.57939727,0.0,11.8,2.4000000000000004
0.773019578,0.0,12.5,3.0
1.042375133,77.88180391572298,14.5,4.0
0.958384571,448.0441571923207,16.7,4.7
0.816670382,674.5862185658864,18.3,4.7
0.81328992,538.9649451127333,19.5,4.4
0.829634338,909.8146821855108,20.3,3.8
0.814788399,551.2874065534156,20.8,3.3000000000000003
0.792035895,816.837967997301,20.8,2.8000000000000003
0.792231247,411.87508644206343,20.3,2.3000000000000003
0.854486111,231.71526208406263,19.8,2.0
1.083675159,58.27471537968502,15.9,1.5
1.50275718,0.0,14.5,1.7000000000000002
1.777478196,0.0,13.8,1.9
1.728572974,0.0,13.2,2.1
1.600127698,0.0,12.7,2.3000000000000003
1.458262622,0.0,12.3,2.3000000000000003
1.181615917,0.0,12.0,2.4000000000000004
0.906894026,0.0,11.8,2.5
0.642567641,0.0,11.9,2.5
0.531165783,0.0,12.0,2.4000000000000004
0.493766459,0.0,12.1,2.2
0.490446443,0.0,12.1,1.9
0.497757662,0.0,12.1,1.8
0.553392706,0.0,12.2,1.7000000000000002
0.777529685,0.0,12.7,1.7000000000000002
1.042474708,56.18010646793769,13.7,1.8
0.986318055,135.66348697297528,14.9,1.8
0.86170144,169.0637169883657,15.9,1.9
0.864206149,104.53107757633992,16.5,1.9
0.882123098,64.79199023326854,16.900000000000002,1.7000000000000002
0.862598906,437.82461810311065,17.1,1.3
0.835623927,670.9240274381845,17.1,0.9
0.831356819,242.9461352015776,16.7,0.6000000000000001
0.891545084,80.342067889253,16.400000000000002,0.6000000000000001
1.119593078,123.93290088677934,15.5,0.8
1.53810911,0.0,15.0,0.8
1.811788512,0.0,14.9,0.8
1.762817728,0.0,14.8,0.7000000000000001
1.634983069,0.0,14.7,0.8
1.49386948,0.0,14.4,0.9
1.209909129,0.0,14.1,0.9
0.922428871,0.0,13.8,0.9
0.642567641,0.0,13.5,0.8
0.531165783,0.0,13.3,0.8
0.493111213,0.0,13.1,0.8
0.491972008,0.0,12.9,0.9
0.501332175,0.0,12.6,1.0
0.55806789,0.0,12.2,1.3
0.777608059,0.0,12.5,1.5
1.048720416,25.916796093307415,14.1,2.2
0.990992641,171.3255905780642,15.9,3.1
0.863687012,335.5107169148433,16.5,3.6
0.864206149,451.10147406977586,16.6,3.7
0.882123098,234.5897000612877,16.900000000000002,3.7
0.862598906,72.56702906126077,17.2,3.8
0.835623927,190.1826539032304,17.2,3.9
0.831356819,177.84897205903232,16.6,3.9
0.891545084,45.786339764843106,16.3,3.8
1.119593078,23.325116483976675,14.1,2.7
1.53810911,0.0,13.3,2.3000000000000003
1.811788512,0.0,13.4,2.1
1.762817728,0.0,13.6,2.2
1.634983069,0.0,13.6,2.3000000000000003
1.49386948,0.0,13.5,2.4000000000000004
1.209909129,0.0,13.3,2.6
0.927857701,0.0,13.2,2.8000000000000003
0.659224177,0.0,13.1,3.0
0.562131901,0.0,12.9,3.2
0.5193551,0.0,12.8,3.2
0.510668527,0.0,12.7,3.2
0.51031367,0.0,12.6,3.2
0.560438208,0.0,12.5,3.1
0.767004345,0.0,12.6,3.1
1.036152247,10.366718437322968,13.1,3.3000000000000003
0.982788728,153.28035995000704,13.5,3.7
0.842054756,45.786339764843106,13.9,4.0
0.849192056,321.1448719014821,14.1,4.4
0.829634338,308.35487949657,13.8,4.6000000000000005
0.814788399,218.27673124302035,13.4,4.6000000000000005
0.792035895,142.54237851319078,13.0,4.4
0.792231247,64.79199023326854,12.6,4.2
0.854486111,52.69748538972508,12.3,4.1000000000000005
1.083675159,53.27489220072977,11.3,3.5
1.50275718,0.0,10.9,3.3000000000000003
1.777478196,0.0,10.6,3.0
1.728572974,0.0,10.3,2.7
1.600127698,0.0,10.2,2.4000000000000004
1.458262622,0.0,10.0,2.0
1.181615917,0.0,9.9,1.6
0.906894026,0.0,9.6,1.1
0.637429492,0.0,9.2,0.8
0.53700652,0.0,8.9,0.8
0.501690217,0.0,8.700000000000001,1.1
0.495941607,0.0,8.700000000000001,1.3
0.497293973,0.0,8.6,1.3
0.549006529,0.0,8.5,1.2000000000000002
0.739487939,0.0,8.700000000000001,1.1
1.042737716,79.68624256976899,9.4,1.2000000000000002
0.968579074,202.88362282047186,10.7,1.5
0.816670382,628.8424403302463,12.1,1.8
0.81328992,796.7549159040822,13.4,1.8
0.829634338,877.0783360681597,14.5,1.6
0.814788399,877.8514002376609,15.2,1.8
0.792035895,800.1980828164271,15.5,2.3000000000000003
0.792231247,642.1410710271637,15.3,2.7
0.854486111,417.55496914310027,15.0,2.8000000000000003
1.083675159,147.21752058577457,12.6,2.6
1.50275718,0.0,11.7,2.7
1.777478196,0.0,11.2,2.6
1.728572974,0.0,10.8,2.4000000000000004
1.600127698,0.0,10.6,2.4000000000000004
1.458262622,0.0,10.6,2.5
1.181943093,0.0,10.5,2.2
0.915897261,0.0,10.2,1.8
0.6555746,0.0,9.9,1.8
0.556099733,0.0,9.7,2.2
0.52057481,0.0,9.5,2.7
0.513005238,0.0,9.2,2.7
0.51320666,0.0,9.1,2.5
0.564075287,0.0,9.1,2.2
0.773215051,0.0,9.7,1.9
1.039061037,73.4372122999134,11.7,2.1
0.976907514,202.46417458459902,14.1,2.2
0.822639949,357.6818725095802,15.9,1.8
0.816472523,792.6264247213481,17.2,1.7000000000000002
0.829634338,870.9461098685456,18.1,1.9
0.814788399,867.780396850507,18.4,2.4000000000000004
0.792035895,795.2717365829899,18.4,2.8000000000000003
0.792231247,636.8474919503101,17.900000000000002,3.1
0.854486111,412.5220308874806,17.400000000000002,3.1
1.083675159,144.07277561231732,13.7,2.9000000000000004
1.50275718,0.0,12.4,2.8000000000000003
1.777478196,0.0,12.1,2.5
1.728572974,0.0,12.0,2.4000000000000004
1.600127698,0.0,12.1,2.3000000000000003
