Ppv,Pdg,Pch,Pdch,SOC,Pbuy,Psell,Eload,P_RE_served,Csell,Cbuy,Pserved
0.0,0.4067975880911909,0.17334276013536978,0.8966401787903792,0.2524408912130354,0.0,0.0,1.10116311,0.0,0.07054,0.19488,1.10116311
0.0,1.3971499382160362,4.5657756110394444e-17,0.13867420810829567,0.20811049876358606,0.0,0.0,1.530277178,0.0,0.07054,0.19488,1.530277178
0.0,1.6271903523647635,0.0,0.0,0.2,0.0,0.0,1.785718547,0.0,0.07054,0.19488,1.785718547
0.0,1.6271903523647635,0.0,0.0,0.2,0.0,0.0,1.733059035,0.0,0.07054,0.19488,1.733059035
0.0,1.60596805,0.0,0.0,0.2,0.0,0.0,1.60596805,0.0,0.07054,0.19488,1.60596805
0.0,1.467649932,0.0,0.0,0.2,0.0,0.0,1.467649932,0.0,0.07054,0.19488,1.467649932
0.0,1.1988012,0.0,0.0,0.2,0.0,0.0,1.1988012,0.0,0.07054,0.19488,1.1988012
0.0,0.933761104,0.0,0.0,0.2,0.0,0.0,0.933761104,0.0,0.07054,0.19488,0.933761104
0.0,0.668902201,0.0,0.0,0.2,0.0,0.0,0.668902201,0.0,0.07054,0.19488,0.668902201
0.0,0.5647897,0.0,0.0,0.2,0.0,0.0,0.5647897,0.0,0.07054,0.19488,0.5647897
0.0,0.522927704,0.0,0.0,0.2,0.0,0.0,0.522927704,0.0,0.07054,0.19488,0.522927704
0.0,0.511126883,0.0,0.0,0.2,0.0,0.0,0.511126883,0.0,0.07054,0.19488,0.511126883
0.0,0.51423831,0.0,0.0,0.2,0.0,0.0,0.51423831,0.0,0.07054,0.19488,0.51423831
0.0,0.564102744,0.0,0.0,0.2,0.0,0.0,0.564102744,0.0,0.07054,0.19488,0.564102744
0.0,0.773486939,0.0,0.0,0.2,0.0,0.0,0.773486939,0.0,0.07054,0.19488,0.773486939
0.051124615679348374,1.0077346579478257,4.95655641676733e-17,0.0,0.2,0.0,0.0,1.056814289,0.051124615679348374,0.07054,0.19488,1.056814289
