Ppv,Pdg,Pch,Pch_ev,Pdch,Pdch_ev,Pdch_max,Pch_max,Eb,Eev,Eev_travel,Pev_travel,SOC,Pbuy total,Psell,Pbuy_HP,Pbuy_eH,Pbuy_C,Eload,Eload_e,Eload_hp,EV_dem,Eload_hp_heating,Eload_hp_cooling,COP_hp_heating,COP_hp_cooling,ENS,ENS_EV,Edump,P_RE_served,Csell,Cbuy,Pserved,POA,Temperature,Wind Speed,EV_p,E_charge_required
0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.810795074,0.0,0.0,0.0,0.0,1.810795074,1.810795074,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.05799,0.38,0.0,0.0,8.9,1.2000000000000002,1,0
0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.689588469,0.0,0.0,0.0,0.0,1.689588469,1.689588469,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.05799,0.38,0.0,0.0,8.6,1.4,1,0
0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.553226068,0.0,0.0,0.0,0.0,1.553226068,1.553226068,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.05799,0.36,0.0,0.0,8.3,1.6,1,0
0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.278843819,0.0,0.0,0.0,0.0,1.278843819,1.278843819,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.05799,0.36,0.0,0.0,8.0,1.7000000000000002,1,0
0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.003646495,0.0,0.0,0.0,0.0,1.003646495,1.003646495,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.05799,0.36,0.0,0.0,7.7,1.8,1,0
0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.721142231,0.0,0.0,0.0,0.0,0.721142231,0.721142231,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.05799,0.35,0.0,0.0,7.6,1.9,1,0
0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.625100452,0.0,0.0,0.0,0.0,0.625100452,0.625100452,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.05799,0.35,0.0,0.0,7.5,1.7000000000000002,1,0
0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.592669818,0.0,0.0,0.0,0.0,0.592669818,0.592669818,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.05799,0.35,0.0,0.0,7.2,1.5,1,0
0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.59294586,0.0,0.0,0.0,0.0,0.59294586,0.59294586,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.05799,0.35,0.0,0.0,6.800000000000001,1.4,1,0
0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.593457213,0.0,0.0,0.0,0.0,0.593457213,0.593457213,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.05799,0.35,0.0,0.0,6.2,1.4,1,0
0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.642090885,0.0,0.0,0.0,0.0,0.642090885,0.642090885,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.05799,0.35,0.0,0.0,5.5,1.5,1,0
0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.845255889,0.0,0.0,0.0,0.0,0.845255889,0.845255889,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.05799,0.35,0.0,0.0,4.800000000000001,1.6,1,0
0.03778250458921547,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.0772256935943532,0.0,0.0,0.0,0.0,1.113496898,1.113496898,0,0,0,0,0,0,0.0,0.0,0.0,0.03778250458921547,0.05799,0.35,0.036271204405646795,7.624349113633854,5.2,1.9,1,0
1.4519540172155754,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.3392853985269522,0.0,0.0,0.0,1.054590458,1.054590458,0,0,0,0,0,0,0.0,0.0,8.164299397550766e-17,1.054590458,0.05799,0.35,1.054590458,300.0980329264102,6.7,2.0,0,0
