Ppv,Pdg,Pch,Pch_ev,Pdch,Pdch_ev,Pdch_max,Pch_max,Eb,Eev,SOC,Pbuy total,Psell,Eload,ENS,Edump,Csell,Cbuy,EV_p
0.0,0.0,-0.0,-0.0,0.0,0.7060000156250001,19.96219395757891,2.3367617036868222,3.507,47.215555538194444,0.5,0.0,-0.0,0.677760015,-0.0,1.1102230246251565e-16,0.1,0.2,1
0.0,0.0,-0.0,-0.0,0.0,0.6218939760416667,19.96219395757891,2.3367617036868222,3.507,46.52456223148148,0.5,0.0,-0.0,0.597018217,-0.0,0.0,0.1,0.2,1
0.0,0.0,-0.0,-0.0,0.0,0.5921214989583333,19.96219395757891,2.3367617036868222,3.507,45.86664945486111,0.5,0.0,-0.0,0.568436639,-0.0,0.0,0.1,0.2,1
0.0,0.0,-0.0,-0.0,0.0,0.5846237802083334,19.96219395757891,2.3367617036868222,3.507,45.21706747685185,0.5,0.0,-0.0,0.561238829,-0.0,0.0,0.1,0.2,1
0.0,0.0,-0.0,-0.0,0.0,0.5915010291666668,19.96219395757891,2.3367617036868222,3.507,44.55984411111111,0.5,0.0,-0.0,0.567840988,-0.0,1.1102230246251565e-16,0.1,0.2,1
0.0,0.0,-0.0,-0.0,0.0,0.6407337656250001,19.96219395757891,2.3367617036868222,3.507,43.84791770486111,0.5,0.0,-0.0,0.615104415,-0.0,0.0,0.1,0.2,1
0.0,0.0,-0.0,-0.0,0.0,0.8210143833333334,19.96219395757891,2.3367617036868222,3.507,42.93567950115741,0.5,0.0,-0.0,0.788173808,-0.0,0.0,0.1,0.2,1
0.0,0.0,-0.0,-0.0,0.0,1.0793699677083335,19.96219395757891,2.3367617036868222,3.507,41.73637953703704,0.5,0.0,-0.0,1.036195169,-0.0,2.220446049250313e-16,0.1,0.2,1
0.0,0.0,-0.0,-0.0,0.0,1.031669671875,19.96219395757891,2.3367617036868222,3.507,40.59007990162037,0.5,0.0,-0.0,0.990402885,-0.0,0.0,0.1,0.2,1
11.66061071,0.0,0.0,10.764990140208333,0.0,0.0,19.96219395757891,2.3367617036868222,3.507,50.27857102780787,0.5,0.0,0.0,0.859795747,0.0,4.877655410314337e-16,0.1,0.2,1
19.98664514,0.0,2.3367617036868222,12.0,0.0,0.0,19.96219395757891,2.3367617036868222,5.6100855333181405,61.07857102780787,0.799841108257505,0.0,4.5687110558606525,0.855177043,0.0,-1.6928639267743925e-15,0.1,0.2,1
11.41447635,0.0,0.0,10.556572823958332,0.0,0.0,19.96219395757891,0.9354472657525174,5.6100855333181405,70.57948656937037,0.799841108257505,0.0,0.0,0.823587385,0.0,7.422363692185148e-16,0.1,0.2,1
15.59755723,0.0,0.9354472657525174,12.0,0.0,0.0,19.96219395757891,0.9354472657525174,6.451988072495406,81.37948656937037,0.9198728361128323,0.0,1.7675157966775823,0.788109769,0.0,1.255454053099659e-15,0.1,0.2,1
14.60346492,0.0,0.37447617599314226,12.0,0.0,0.0,19.96219395757891,0.37447617599314226,6.789016630889234,92.17948656937037,0.9679236713557505,0.0,1.387154056246584,0.752675138,0.0,6.31353147752845e-16,0.1,0.2,1
5.849792332,0.0,0.14990947274150965,4.245014922921813,0.0,0.0,19.96219395757891,0.14990947274150965,6.923935156356593,96.0,0.987159275214798,0.0,0.6514169568832102,0.745256262,0.0,-4.0695866006276577e-16,0.1,0.2,1
1.655408739,0.0,0.0600114278512849,0.0,0.0,0.0,19.96219395757891,0.0600114278512849,6.977945441422749,96.0,0.9948596295156471,0.0,0.7332534787027666,0.79832794,0.0,-1.2270977519389532e-17,0.1,0.2,1
0.130360765,0.0,-0.0,-0.0,0.0,11.849639235000001,19.96219395757891,0.024023641781195815,6.977945441422749,82.83373418333333,0.9948596295156471,0.0,10.492352148,1.008447852,-0.0,1.7763568394002505e-15,0.1,0.2,1
0.0,0.0,-0.0,-0.0,0.0,2.69694532395834,19.96219395757891,0.024023641781195815,6.977945441422749,79.83712826782407,0.9948596295156471,0.0,1.1843848160000061,1.404682695,-0.0,4.440892098500626e-16,0.1,0.2,1
0.0,0.0,-0.0,-0.0,0.0,1.6942468833333335,19.96219395757891,0.024023641781195815,6.977945441422749,77.95463173078703,0.9948596295156471,0.0,-0.0,1.626477008,-0.0,2.220446049250313e-16,0.1,0.2,1
0.0,0.0,-0.0,-0.0,0.0,1.659732704166667,19.96219395757891,0.024023641781195815,6.977945441422749,76.11048428171296,0.9948596295156471,0.0,-0.0,1.593343396,-0.0,2.220446049250313e-16,0.1,0.2,1
0.0,0.0,-0.0,-0.0,0.0,1.55366808125,19.96219395757891,0.024023641781195815,6.977945441422749,74.3841864136574,0.9948596295156471,0.0,-0.0,1.491521358,-0.0,0.0,0.1,0.2,1
0.0,0.0,-0.0,-0.0,0.0,1.4377801208333334,19.96219395757891,0.024023641781195815,6.977945441422749,72.7866529460648,0.9948596295156471,0.0,-0.0,1.380268916,-0.0,0.0,0.1,0.2,1
0.0,0.0,-0.0,-0.0,0.0,1.1940151614583334,19.96219395757891,0.024023641781195815,6.977945441422749,71.45996943333333,0.9948596295156471,0.0,-0.0,1.146254555,-0.0,0.0,0.1,0.2,1
0.0,0.0,-0.0,-0.0,0.0,0.9505791697916667,19.96219395757891,0.024023641781195815,6.977945441422749,70.40377035578703,0.9948596295156471,0.0,-0.0,0.912556003,-0.0,0.0,0.1,0.2,1
0.0,0.0,-0.0,-0.0,0.0,0.7000539270833335,19.96219395757891,0.024023641781195815,6.977945441422749,69.62593265902777,0.9948596295156471,0.0,-0.0,0.67205177,-0.0,1.1102230246251565e-16,0.1,0.2,1
