Eload,Eload_eh,Eload_hp,G,T,Vw,Cbuy,EV_P
0.849176581,0.849176581,0,0.0,5.7,1.9,0.35,1
1.11266621,1.11266621,0,3.382726501094785,6.4,2.0,0.35,1
1.064993743,1.064993743,0,110.63941667737807,7.7,2.2,0.35,0
0.91705151,0.91705151,0,366.6002355831878,9.2,2.2,0.35,0
0.928469469,0.928469469,0,451.9986959727592,10.9,2.3000000000000003,0.35,0
0.906613563,0.906613563,0,768.7039214219413,12.4,2.3000000000000003,0.35,0
0.873858345,0.873858345,0,784.8993422474082,13.4,2.4000000000000004,0.35,0
0.833328973,0.833328973,0,724.5253120092195,14.0,2.3000000000000003,0.35,0
0.834621803,0.834621803,0,616.1666554929897,13.9,2.2,0.35,0
0.895938605,0.895938605,0,409.26412283202995,12.9,2.0,0.36,0
1.13200529,1.13200529,0,147.85290220085972,11.4,1.9,0.38,0
1.578389552,1.578389552,0,0.0,10.5,2.1,0.38,1
1.844181812,1.844181812,0,0.0,9.9,2.4000000000000004,0.38,1
1.794882052,1.794882052,0,0.0,9.5,2.7,0.38,1
1.668877842,1.668877842,0,0.0,9.4,3.1,0.38,1
1.530653932,1.530653932,0,0.0,9.8,3.3000000000000003,0.36,1
1.263109343,1.263109343,0,0.0,10.0,3.4000000000000004,0.36,1
0.993158492,0.993158492,0,0.0,9.9,3.4000000000000004,0.36,1
0.728295254,0.728295254,0,0.0,9.9,3.5,0.35,1
0.625404114,0.625404114,0,0.0,10.0,3.8,0.35,1
0.595699915,0.595699915,0,0.0,10.1,4.2,0.35,1
0.594679023,0.594679023,0,0.0,10.3,4.800000000000001,0.35,1
0.596869679,0.596869679,0,0.0,10.5,5.300000000000001,0.35,1
0.652016345,0.652016345,0,0.0,10.8,6.0,0.35,1
0.842451728,0.842451728,0,0.0,11.0,6.6000000000000005,0.35,1
1.116578216,1.116578216,0,2.537044875821089,11.2,7.0,0.35,1
1.069938826,1.069938826,0,32.56492058832293,11.7,7.300000000000001,0.35,0
0.920801665,0.920801665,0,74.90846111593181,12.3,7.7,0.35,0
0.920487395,0.920487395,0,54.78343946663675,13.0,8.0,0.35,0
0.899551352,0.899551352,0,132.63946277582858,13.6,8.1,0.35,0
0.860045806,0.860045806,0,98.94045785741726,13.9,8.0,0.35,0
0.819994621,0.819994621,0,70.14524052942555,13.8,7.4,0.35,0
0.812716273,0.812716273,0,134.3611261845882,13.3,6.5,0.35,0
0.879559268,0.879559268,0,212.3018765750988,12.7,5.9,0.36,0
1.118908215,1.118908215,0,26.870151323174355,12.1,5.4,0.38,0
1.570909294,1.570909294,0,0.0,11.5,5.1000000000000005,0.38,1
1.838163539,1.838163539,0,0.0,11.1,4.7,0.38,1
1.79016241,1.79016241,0,0.0,10.5,4.0,0.38,1
1.666904023,1.666904023,0,0.0,9.9,3.4000000000000004,0.38,1
1.529504803,1.529504803,0,0.0,9.4,2.8000000000000003,0.36,1
1.260031766,1.260031766,0,0.0,9.0,2.4000000000000004,0.36,1
