Ppv,Pdg,Pch,Pdch,Pdch_max,Pch_max,Eb,SOC,Pbuy,Psell,Eload,ENS,Edump,P_RE_served,Csell,Cbuy,Pserved,POA,Temperature,Wind Speed
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.60325805,0.0,0.60325805,0.0,0.0,0.0,0.0638,0.404,0.0,0.0,14.4,2.6
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.819461002,0.0,0.819461002,0.0,0.0,0.0,0.0638,0.404,0.0,0.0,15.2,3.0
0.5377448965187798,0.0,0.0,0.0,0.0,0.0,0.0,0,0.5541424623419715,0.0,1.070377563,0.0,0.0,0.5377448965187798,0.0638,0.404,0.5162351006580286,66.65106082963891,17.2,3.5
3.294442375025166,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,2.175114903024159,0.987549777,0.0,2.382292629823309e-16,0.987549777,0.0638,0.404,0.987549777,421.4240605954256,19.3,3.7
4.859643143756185,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,3.835190073005937,0.830067345,0.0,3.6025784511095847e-16,0.830067345,0.0638,0.404,0.830067345,635.1193215644407,21.1,3.3000000000000003
5.863506888107104,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,4.81101831358282,0.817948299,0.0,-1.3725933769518066e-16,0.817948299,0.0638,0.404,0.817948299,777.9170128416969,22.4,2.6
6.353637138826746,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,5.269857315273676,0.829634338,0.0,-1.256371500441651e-17,0.829634338,0.0638,0.404,0.829634338,849.2628631633681,23.0,2.1
3.8006376104069157,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,2.833823706990639,0.814788399,1.1102230246251565e-16,-3.8371572978259805e-16,0.814788399,0.0638,0.404,0.814788399,494.5984088152423,23.1,2.1
5.681592934182068,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,4.662293321814785,0.792035895,0.0,6.508005535656712e-16,0.792035895,0.0638,0.404,0.792035895,753.0638969834596,22.700000000000003,2.2
4.511370877551125,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,3.5386847954490803,0.792231247,1.1102230246251565e-16,2.3052241439987407e-16,0.792231247,0.0638,0.404,0.792231247,588.4607957200267,21.6,2.1
2.808740032046586,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,1.8419043197647225,0.854486111,0.0,-9.978649132046464e-17,0.854486111,0.0638,0.404,0.854486111,359.3192161692249,20.8,1.9
